University name - shortened,Course Name,Course Link,Duration,Qualification,Start Date,Mode of attendance, Fee,UG/PG,University name - HESA
Imperial College London,Business MRes,,1 or 2 years,,,,No fee - fully funded,PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Innovation Design Engineering MA/MSc,,21 months,,,,40900,PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Aeronautics with Spacecraft Engineering MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Advanced Aeronautical Engineering MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,"Advanced Computational Methods for Aeronautics, Flow Management and Fluid-Structure Interaction MSc",,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,"Composites: The Science, Technology and Engineering Application of Advanced Composites MSc",,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Technology Ventures BSc,,3 years,,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Computing (Artificial Intelligence and Machine Learning) MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Computing (Visual Computing and Robotics) MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,"Economics, Finance and Data Science BSc",,3 years,,,,"£39,100",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Applied Computational Science and Engineering MSc,,1 year,,,,"£41,750",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Applied Machine Learning MSc,,1 year,,,,"£41,750",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Artificial Intelligence MSc,,1 year,,,,"£41,750",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Artificial Intelligence and Machine Learning MRes,,1 year,,,,"£45,150",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Artificial Intelligence Applications and Innovation MSc,,1 year,,,,"£39,000",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Research (Data Science) MRes,,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Computing (Artificial Intelligence and Machine Learning) MSc,,1 year,,,,"£41,750",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Computing (Visual Computing and Robotics) MSc,,1 year,,,,"£41,750",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Digital Chemistry with AI and Automation,,1 year,,,,"£40,500",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Environmental Data Science and Machine Learning MSc,,1 year,,,,"£41,750",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Environmental Engineering with Data Science MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Geo-Energy with Machine Learning and Data Science MSc,,1 year,,,,"£41,750",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Health Data Analytics and Machine Learning MSc,,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Human and Biological Robotics MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Machine Learning and Data Science (Online) MSc,,2 years,,,,"£17,175",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Nanomedicine and Nanodiagnostics MRes,,1 year,,,,"£40,500",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Statistics (Data Science) MSc,,1 year,,,,"£34,350",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Transport with Data Science MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Machine Learning and Data Science (Online) MSc,,2 years,,,,"£17,175",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biochemistry BSc,,3 years,,,,"£41,650",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biochemistry with a Language for Science BSc,,4 years,,,,"£41,650",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biochemistry with Management BSc,,3 years,,,,"£41,650",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomaterials and Tissue Engineering MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Technology Ventures BSc,,3 years,,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biotechnology BSc,,3 years,,,,"£41,650",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biotechnology with a Language for Science BSc,,4 years,,,,"£41,650",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biotechnology with Management BSc,,3 years,,,,"£41,650",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Molecular Bioengineering MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Applied Biosciences and Biotechnology MSc,,1 year,,,,"£37,100",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biological and Physical Chemistry MRes,,1 year,,,,"£40,500",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Cancer Technology MRes,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Chemical Biology and Bio-Entrepreneurship MRes,,1 year,,,,"£40,500",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Drug Discovery and Development: Multidisciplinary Science for Next Generation Therapeutics MRes,,1 year,,,,"£40,500",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Engineering for Biomedicine MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Engineering MEng,,4 Years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Technology Ventures BSc,,3 years,,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Molecular Bioengineering MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Bioengineering MRes,,"1 year, 2 years",,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Engineering (Biomaterials) MSc,,1 year full-time,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Engineering (Biomechanics and Mechanobiology) MSc,,1 year full-time,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Engineering (Computational Bioengineering) MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Engineering (Medical Physics) MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Engineering (Neurotechnology) MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Cancer Technology MRes,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Drug Discovery and Development: Multidisciplinary Science for Next Generation Therapeutics MRes,,1 year,,,,"£40,500",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Engineering for Biomedicine MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Human and Biological Robotics MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Machine Learning and Big Data in the Physical Sciences MRes,,1 year,,,,"£40,800",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Medical Device Design and Entrepreneurship MRes,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Medical Robotics and Image-Guided Intervention MRes,,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Medical Robotics and Image-Guided Intervention MRes €“ Clinical Robotics and AI,,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Neurotechnology MRes,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Soft Electronic Materials MRes,,1 year,,,,"£40,800",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biological Sciences BSc,,3 years,,,,"£41,650",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biological Sciences with a Language for Science BSc,,4 years,,,,"£41,650",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biological Sciences with Management BSc,,3 years,,,,"£41,650",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Ecology and Environmental Biology BSc,,3 years,,,,"£41,650",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Microbiology BSc,,3 years,,,,"£41,650",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Molecular Bioengineering MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Bioinformatics and Theoretical Systems Biology MRes,,1 year,,,,"£37,100",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Research (Bacterial Pathogenesis and Infection) MRes,,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biosystematics MRes,,"1 year, 2 years",,,,"£30,600",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Cancer Technology MRes,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Drug Discovery and Development: Multidisciplinary Science for Next Generation Therapeutics MRes,,1 year,,,,"£40,500",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Engineering for Biomedicine MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Immunology,,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Molecular and Cellular Biosciences MRes,,1 year,,,,"£37,100",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Structural Biology MRes,,1 year,,,,"£37,100",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Systems and Synthetic Biology MRes,,1 year,,,,"£37,100",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Technology Ventures BSc,,3 years,,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Medical Biosciences BSc,,3 years,,,,"£37,900",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Medical Biosciences with Management BSc,,4 years,,,,"£37,900",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Molecular Bioengineering MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Applied Genomics MSc,,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Engineering (Biomaterials) MSc,,1 year full-time,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Engineering (Biomechanics and Mechanobiology) MSc,,1 year full-time,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Engineering (Computational Bioengineering) MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Engineering (Medical Physics) MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Engineering (Neurotechnology) MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,"Biomedical Research (Anaesthetics, Pain Medicine and Intensive Care) MRes",,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Research (Data Science) MRes,,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,"Biomedical Research (Epidemiology, Evolution and Control of Infectious Diseases) MRes",,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Research MRes,,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Research (Microbiome in Health and Disease) MRes,,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Research (Molecular Basis of Human Disease) MRes,,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Research (Respiratory and Cardiovascular Science) MRes,,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Cancer Biology MRes,,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Cancer Informatics MRes,,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Cancer Innovation MRes,,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Engineering for Biomedicine MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Experimental Neuroscience MRes,,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,"Genes, Drugs and Stem Cells €“ Novel Therapies",,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Genomic Medicine,,"1 year, 2 years",,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Human Molecular Genetics MSc,,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Immunology,,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Machine Learning and Big Data in the Physical Sciences MRes,,1 year,,,,"£40,800",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Medical Device Design and Entrepreneurship MRes,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Molecular Biology and Pathology of Viruses MSc,,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Molecular Medicine MSc,,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Neurotechnology MRes,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Reproductive and Developmental Biology,,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Statistics (Biostatistics) MSc,,1 year,,,,"£34,350",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Translational Neuroscience MSc,,1 year,,,,"£43,250",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biochemistry with Management BSc,,3 years,,,,"£41,650",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biological Sciences with Management BSc,,3 years,,,,"£41,650",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Technology Ventures BSc,,3 years,,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biotechnology with Management BSc,,3 years,,,,"£41,650",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Chemistry with Management BSc,,4 years,,,,"£41,650",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,"Economics, Finance and Data Science BSc",,3 years,,,,"£39,100",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Electrical and Electronic Engineering with Management MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Medical Biosciences with Management BSc,,4 years,,,,"£37,900",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Business Analytics MSc,,1 year,,,,"£41,000",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Business Analytics (Online) MSc,,2 years,,,,"£34,400",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,"Climate Change, Management and Finance MSc",,1 year,,,,"£37,000",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Economics and Strategy for Business MSc,,1 year,,,,"£37,000",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Environmental Technology MSc,,1 year,,,,"£31,800",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Executive MBA,,23 months,,,,"£76,500",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Finance MSc,,1 year,,,,"£45,400",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Finance & Accounting MSc,,1 year,,,,"£45,400",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Financial Technology MSc,,1 year,,,,"£45,400",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Full-Time MBA,,12 months,,,,"£67,500",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Global Health Management MSc,,1 year,,,,"£37,000",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Global Online MBA,,"21 months, 24 months, 32 months",,,,"£50,500",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,"Innovation, Entrepreneurship and Management MSc",,1 year,,,,"£39,000",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,International Management MSc,,1 year,,,,"£41,000",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Investment and Wealth Management MSc,,1 year,,,,"£45,400",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Management MSc,,1 year,,,,"£37,000",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Medical Device Design and Entrepreneurship MRes,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Risk Management and Financial Engineering MSc,,1 year,,,,"£45,400",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Strategic Marketing MSc,,1 year,,,,"£39,000",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Strategic Marketing (Online) MSc,,2 years,,,,"£32,400",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Sustainable Energy Futures MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Weekend MBA,,23 months,,,,"£61,000",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Business Analytics (Online) MSc,,2 years,,,,"£34,400",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Global Online MBA,,"21 months, 24 months, 32 months",,,,"£50,500",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Strategic Marketing (Online) MSc,,2 years,,,,"£32,400",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Chemical Engineering MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Materials Science and Engineering MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Materials Science and Engineering BEng,,3 years,,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Materials with Nuclear Engineering MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Molecular Bioengineering MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Advanced Chemical Engineering MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Advanced Chemical Engineering with Biotechnology MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Advanced Chemical Engineering with Materials Engineering MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Advanced Chemical Engineering with Process Systems Engineering MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Advanced Molecular Synthesis MRes,,1 year,,,,"£40,500",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Catalysis: Chemistry and Engineering MRes,,1 year,,,,"£40,500",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,"Green Chemistry, Energy and the Environment MRes",,1 year,,,,"£40,500",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Molecular Engineering MRes,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Soft Electronic Materials MRes,,1 year,,,,"£40,800",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomaterials and Tissue Engineering MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Chemistry BSc,,3 years,,,,"£41,650",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Chemistry MSci,,4 years,,,,"£41,650",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Chemistry with Management BSc,,4 years,,,,"£41,650",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Chemistry with Medicinal Chemistry MSci,,4 years,,,,"£41,650",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Chemistry with Molecular Physics MSci,,4 years,,,,"£41,650",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Materials Science and Engineering MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Materials Science and Engineering BEng,,3 years,,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Materials with Nuclear Engineering MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Advanced Molecular Synthesis MRes,,1 year,,,,"£40,500",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biological and Physical Chemistry MRes,,1 year,,,,"£40,500",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Cancer Technology MRes,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Catalysis: Chemistry and Engineering MRes,,1 year,,,,"£40,500",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Chemical Biology and Bio-Entrepreneurship MRes,,1 year,,,,"£40,500",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Digital Chemistry with AI and Automation,,1 year,,,,"£40,500",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Drug Discovery and Development: Multidisciplinary Science for Next Generation Therapeutics MRes,,1 year,,,,"£40,500",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,"Green Chemistry, Energy and the Environment MRes",,1 year,,,,"£40,500",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Molecular Engineering MRes,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Nanomaterials MRes,,1 year,,,,"£40,500",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Nanomedicine and Nanodiagnostics MRes,,1 year,,,,"£40,500",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Soft Electronic Materials MRes,,1 year,,,,"£40,800",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Civil Engineering MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Advanced Materials for Sustainable Infrastructure MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Concrete Structures MSc,,"1 year, 2 years, 3 years",,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Earthquake Engineering MSc,,"1 year, 2 years, 3 years",,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,"Engineering Fluid Mechanics for the Offshore, Coastal and Built Environments MSc",,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Environmental Engineering MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Environmental Engineering with Data Science MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,General Structural Engineering MSc,,"1 year, 2 years, 3 years",,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Geotechnical and Earthquake Engineering MSc,,"1 year, 2 years",,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Geotechnical and Geoenvironmental Engineering MSc,,"1 year, 2 years",,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Geotechnical and Geological Engineering MSc,,"1 year, 2 years",,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Geotechnical Engineering MSc,,"1 year, 2 years",,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Hydrology and Water Resources Management MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Security and Resilience: Science and Technology,,"1 year, 2 years",,,,"£35,600",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Structural Steel Design MSc,,"1 year, 2 years, 3 years",,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Transport MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Transport with Data Science MSc,,1 year,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Science Communication MSc,,"1 year, 2 years",,,,"£28,600",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Science Media Production MSc,,1 year,,,,"£28,600",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Strategic Marketing MSc,,1 year,,,,"£39,000",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Strategic Marketing (Online) MSc,,2 years,,,,"£32,400",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Strategic Marketing (Online) MSc,,2 years,,,,"£32,400",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Computing MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Computing BEng,,3 years,,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Computing (Artificial Intelligence and Machine Learning) MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Computing (International Programme of Study) MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Computing (Management and Finance) MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Computing (Security and Reliability) MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Computing (Software Engineering) MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Computing (Visual Computing and Robotics) MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,"Economics, Finance and Data Science BSc",,3 years,,,,"£39,100",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Electronic and Information Engineering BEng,,3 years,,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Electronic and Information Engineering MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Mathematics and Computer Science MEng,,4 years,MEng,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Mathematics and Computer Science BEng,,3 years,,,,"£40,940",UG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Advanced Computing MSc,,1 year,,,,"£41,750",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Applied Computational Science and Engineering MSc,,1 year,,,,"£41,750",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Applied Machine Learning MSc,,1 year,,,,"£41,750",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Artificial Intelligence MSc,,1 year,,,,"£41,750",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Artificial Intelligence and Machine Learning MRes,,1 year,,,,"£45,150",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Artificial Intelligence Applications and Innovation MSc,,1 year,,,,"£39,000",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Bioinformatics and Theoretical Systems Biology MRes,,1 year,,,,"£37,100",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Engineering (Biomaterials) MSc,,1 year full-time,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
Imperial College London,Biomedical Engineering (Biomechanics and Mechanobiology) MSc,,1 year full-time,,,,"£40,900",PG,"Imperial College of Science, Technology and Medicine"
